resource,logical_input,sample,min_eig,projection_frobenius
canonical,zero,77,0.011844973174149823,5.707003782719392e-17
canonical,one,77,0.016317941057304546,6.414840090676709e-16
canonical,plus,77,0.019196522466352558,2.5496304468323527e-16
canonical,plus_i,77,0.010361261129303835,7.304614503903154e-16
canonical,zero,78,0.008093774806380707,1.1231172801690281e-16
canonical,one,78,0.01851512116877192,5.987101638158604e-16
canonical,plus,78,0.01519315498195487,2.2199038819734605e-16
canonical,plus_i,78,0.008890734632604189,2.5024851743963493e-16
canonical,zero,79,0.005936619072168626,6.715043770093092e-16
canonical,one,79,0.017934346869896728,4.818657099283171e-16
canonical,plus,79,0.00905940315944843,7.818404311264426e-16
canonical,plus_i,79,0.014552503189506672,6.577061708729018e-16
canonical,zero,80,0.006172264893615564,4.259797083755691e-17
canonical,one,80,0.02310256286821776,1.5062501680499926e-15
canonical,plus,80,0.031092454360484943,3.1849648947940824e-16
canonical,plus_i,80,0.007408849743606208,5.82409026127761e-16
canonical,zero,81,0.003197526749275975,1.2351037757446587e-16
canonical,one,81,0.022746857461391195,8.934024318600964e-16
canonical,plus,81,0.01723864315909387,7.386521004155404e-16
canonical,plus_i,81,0.00930859178108296,4.792109825363158e-16
canonical,zero,82,0.008243714196900162,2.3001200244168286e-16
canonical,one,82,0.021690320396363927,5.619348213916481e-16
canonical,plus,82,0.017406208116024613,4.038927699212813e-16
canonical,plus_i,82,0.016317349229152924,9.709341786956824e-16
canonical,zero,83,0.006505149207555028,1.1889195119414514e-16
canonical,one,83,0.020932703621367385,9.916310828380175e-16
canonical,plus,83,0.014422083157155905,5.141770020286701e-16
canonical,plus_i,83,0.006953348234478747,5.322142508714303e-16
canonical,zero,84,0.006423877227039483,2.25210587097236e-16
canonical,one,84,0.021931100978115025,2.6024854344887375e-16
canonical,plus,84,0.02265810127823227,5.847107241662506e-16
canonical,plus_i,84,0.01154276715984229,6.257499678152378e-16
canonical,zero,85,0.004532351543526124,7.287129201666891e-17
canonical,one,85,0.019646510623966586,6.433486910791856e-16
canonical,plus,85,0.012356722950211153,4.397754959845692e-16
canonical,plus_i,85,0.014957483239154986,2.5485679777957566e-16
canonical,zero,86,0.010993183229606308,1.1422665488129383e-16
canonical,one,86,0.01900884967566391,7.487781688553418e-16
canonical,plus,86,0.017009852974406676,3.0939171309903047e-16
canonical,plus_i,86,0.018170479346584573,7.244546429391137e-16
canonical,zero,87,0.010124587411885048,1.3027459481302355e-16
canonical,one,87,0.018514468661658425,3.548890338246908e-16
canonical,plus,87,0.010355508738041013,3.9887372081625857e-16
canonical,plus_i,87,0.00753588236759059,3.6253622863524594e-16
canonical,zero,88,0.010359887867573527,2.441758091828323e-16
canonical,one,88,0.018653722991722427,4.1881312725090674e-16
canonical,plus,88,0.020595136842010316,2.9164256514056784e-16
canonical,plus_i,88,0.006326535911690816,2.9154339553436962e-16
canonical,zero,89,0.00834894573482112,2.270436361303432e-16
canonical,one,89,0.0181248008090228,1.1602726814632176e-15
canonical,plus,89,0.004518880158388571,2.3815852539461335e-16
canonical,plus_i,89,0.007537937821853885,6.029006421855177e-16
canonical,zero,90,0.009913699832385004,1.2256571087885982e-16
canonical,one,90,0.014429008445260908,5.99816937583079e-16
canonical,plus,90,0.016878836354907355,4.756054730633668e-16
canonical,plus_i,90,0.005477795804791014,4.945837030487043e-16
canonical,zero,91,0.009075305444993537,1.7224939353433672e-16
canonical,one,91,0.020063699435279227,9.323449937417978e-16
canonical,plus,91,0.01780028026001198,6.032443208813355e-16
canonical,plus_i,91,0.009979219139535025,2.9637021123327224e-16
canonical,zero,92,0.009630174429203123,1.253608029367115e-16
canonical,one,92,0.01788431648428001,6.2623121417351e-16
canonical,plus,92,0.016169111965247365,1.4526474913817221e-15
canonical,plus_i,92,0.020737706747046544,3.814863601817018e-16
canonical,zero,93,0.011195305850692066,6.687286578730764e-16
canonical,one,93,0.021242484690196614,9.281679457907118e-16
canonical,plus,93,0.017298834500632954,2.486003473690174e-16
canonical,plus_i,93,0.01116886033848349,5.277881030660769e-16
canonical,zero,94,0.005749292122559434,2.265286261599012e-16
canonical,one,94,0.021313915798727198,5.272707598194641e-16
canonical,plus,94,0.021659074398400664,4.782652600546015e-16
canonical,plus_i,94,0.015263053231682465,5.121772956273315e-16
canonical,zero,95,0.0098265825614506,1.227998606254775e-16
canonical,one,95,0.016687366787177464,5.706453393673048e-16
canonical,plus,95,0.01773357872193697,4.757576976905894e-16
canonical,plus_i,95,0.01648772573430845,2.010720087485619e-16
canonical,zero,96,0.011029297624660437,5.717308832501267e-16
canonical,one,96,0.017502805637140937,6.207436091823956e-16
canonical,plus,96,0.006074943222419923,2.423589363697419e-16
canonical,plus_i,96,0.01565316798415164,2.4526426529334354e-16
canonical,zero,97,0.00913612323339891,4.55807750203178e-16
canonical,one,97,0.015904699678465636,6.185575502736666e-16
canonical,plus,97,0.016799964504753524,4.732106422279643e-16
canonical,plus_i,97,0.0018996870310149106,7.755089496650829e-16
canonical,zero,98,0.014169142494158696,4.7977232456799775e-17
canonical,one,98,0.021192620863779578,3.8736320838477664e-16
canonical,plus,98,0.013023981010550382,3.727481392549677e-16
canonical,plus_i,98,0.011959380410392153,2.1198523165238438e-16
canonical,zero,99,0.008938060267132997,4.534111448651306e-16
canonical,one,99,0.02286507477116445,7.978053192774707e-16
canonical,plus,99,0.01657565144375049,4.581525886063211e-16
canonical,plus_i,99,0.00044440618798388394,6.888315853575914e-16
canonical,zero,100,0.012183132983696136,4.430369010721386e-17
canonical,one,100,0.01678675775658884,6.527749042225592e-16
canonical,plus,100,0.015107397015759437,3.117329942525206e-16
canonical,plus_i,100,0.019627022747438237,5.042142381192586e-16
canonical,zero,101,0.008544975433991816,1.2067957369614072e-16
