resource,x,m,mode,sample,min_eig,projection_frobenius
canonical,0,0,raw,181,0.001630317801910958,1.7927865667146023e-16
canonical,0,0,recovered,181,0.006285509338955808,1.6479473574033003e-16
canonical,0,0,raw,182,0.007555921862991553,2.6517417532575027e-16
canonical,0,0,recovered,182,0.0012064421695296703,6.012537553796221e-16
canonical,0,0,raw,183,0.008633574352492474,6.742484637472619e-16
canonical,0,0,recovered,183,0.0066423815118956415,6.826869742764905e-16
canonical,0,0,raw,184,0.017551461392382454,2.9879439773481393e-16
canonical,0,0,recovered,184,0.011284438349481403,2.5124761330772827e-16
canonical,0,0,raw,185,0.014022034207486014,3.3901070632658146e-16
canonical,0,0,recovered,185,0.006889060276090332,4.948011740157286e-16
canonical,0,0,raw,186,0.006401276315229693,4.096961157052528e-16
canonical,0,0,recovered,186,0.01421791401073997,8.615068552321631e-16
canonical,0,0,raw,187,0.009081213859156643,1.7014997874678667e-16
canonical,0,0,recovered,187,0.0049235725527480905,1.3649274843825321e-16
canonical,0,0,raw,188,0.007582337536515064,6.090781862835962e-16
canonical,0,0,recovered,188,0.00802240266264955,3.2621104818578877e-16
canonical,0,0,raw,189,0.012668181993855583,2.5328689245244706e-16
canonical,0,0,recovered,189,0.01955976436610152,3.628455207452136e-16
canonical,0,0,raw,190,0.00540243437832055,2.595705899382359e-16
canonical,0,0,recovered,190,0.0023439562638087417,3.4424810483361915e-16
canonical,0,0,raw,191,0.012811092839884151,3.4193185765540863e-16
canonical,0,0,recovered,191,0.009297439824585202,4.073869140406697e-16
canonical,0,0,raw,192,0.0044286290188913936,6.02868821728325e-16
canonical,0,0,recovered,192,0.016800977277355102,4.3966196148668013e-16
canonical,0,0,raw,193,0.006577376864564213,7.531217611735284e-16
canonical,0,0,recovered,193,0.013375843012841575,2.6143385667423967e-16
canonical,0,0,raw,194,0.015254503660305039,6.234904984646435e-16
canonical,0,0,recovered,194,0.014298431492608175,5.028102802938745e-16
canonical,0,0,raw,195,0.011757186729216856,2.735332095619217e-16
canonical,0,0,recovered,195,0.018611711843319643,2.030515873800975e-16
canonical,0,0,raw,196,0.017100600585179322,7.104846904564855e-16
canonical,0,0,recovered,196,0.0018144470989597903,2.7070719735596034e-16
canonical,0,0,raw,197,0.01792308916539987,2.5501564737207624e-16
canonical,0,0,recovered,197,0.010786665859110272,2.932569569189632e-16
canonical,0,0,raw,198,0.020421548414266407,2.158731201526737e-16
canonical,0,0,recovered,198,0.008490805950126688,2.690948730150205e-16
canonical,0,0,raw,199,0.010864063582285515,3.178286103910573e-16
canonical,0,0,recovered,199,0.008784084158141641,1.503916213902809e-16
canonical,0,0,raw,200,0.014834503501754782,6.629887685592774e-16
canonical,0,0,recovered,200,0.01578877121932847,3.3730092418521516e-16
canonical,0,0,raw,201,0.018558329185557887,5.225292095595193e-16
canonical,0,0,recovered,201,0.009337429275623668,5.410530988636837e-16
canonical,0,0,raw,202,0.013683727116042673,4.979318375353894e-16
canonical,0,0,recovered,202,0.009295070310965556,3.2934471589197847e-16
canonical,0,0,raw,203,0.00584109216515439,1.5517542985092437e-16
canonical,0,0,recovered,203,0.00867666591886018,1.4437079148255767e-16
